组ID,视频类型,文件名,视频ID,视频链接,哈希值
组1,原视频,7413268328149421322.mp4,7413268328149421322,https://douyin.com/?modal_id=7413268328149421322,f156ea6c6c01984facaa35158ae07127696d636df3d06478dd4c820cc748d3b4
组1,重复视频,7411088252045675785.mp4,7411088252045675785,https://douyin.com/?modal_id=7411088252045675785,f156ea6c6c01984facaa35158ae07127696d636df3d06478dd4c820cc748d3b4
组2,原视频,7412587583265426738.mp4,7412587583265426738,https://douyin.com/?modal_id=7412587583265426738,f9d07f0ba96131fdadd9536ac21d3fb88eb6aacdcacafe1595197b67bc8483e3
组2,重复视频,7412188976532000039.mp4,7412188976532000039,https://douyin.com/?modal_id=7412188976532000039,6dfc53600d21850fc365969710a3ef7d1e910ab85634b354ba65a9ff5d290b04
组3,原视频,7400007636646661402.mp4,7400007636646661402,https://douyin.com/?modal_id=7400007636646661402,29deb0ad65286a08ccc6d7781180d6e922afcee82e271d7ab14f6e04151a75d6
组3,重复视频,7397290099966266675.mp4,7397290099966266675,https://douyin.com/?modal_id=7397290099966266675,0897f45ab6c23518176e8788bcf7e8f8cd94e419952a1c29f322134db65c787d
组4,原视频,7413267086635437339.mp4,7413267086635437339,https://douyin.com/?modal_id=7413267086635437339,5d7b645e8a8893b398ad655620473e86fb01d2f37a17a2f1b094e874d0354408
组4,重复视频,7409135334178442533.mp4,7409135334178442533,https://douyin.com/?modal_id=7409135334178442533,d27ff664fe27e7bfd81b87cd8d31c881badccfc59a068ffd108f7077c3046c3c
组5,原视频,7409354726573165851.mp4,7409354726573165851,https://douyin.com/?modal_id=7409354726573165851,16b0c8e899cb51f2522c7c3993bf5b016e73d18b7eef30f03e4b7da67bfc35a7
组5,重复视频,7409870158858161418.mp4,7409870158858161418,https://douyin.com/?modal_id=7409870158858161418,3075efdc61a7120c57e3783d7bd5e66974b6021fbfff9a7ac0a1594767f1eb7a
组6,原视频,7399198061467094307.mp4,7399198061467094307,https://douyin.com/?modal_id=7399198061467094307,cfd6b6c7f346ec780dbad511e4f935c3bfba2719c2feb3973871896a8afe4bf0
组6,重复视频,7408860256144575795.mp4,7408860256144575795,https://douyin.com/?modal_id=7408860256144575795,de2ac7ce8b67d9e6c3d2611943f05ae4fe2119d91ca90f0631b4fa18d01c0e94
组7,原视频,7409940158327295242.mp4,7409940158327295242,https://douyin.com/?modal_id=7409940158327295242,464735abb9109f83cdaa2fdd21ee98ad1aaf2ca0f6b8903563ba7b0898645503
组7,重复视频,7413618825834335498.mp4,7413618825834335498,https://douyin.com/?modal_id=7413618825834335498,0712350f83c6c18e813a398a272e988ad034a258ca4eae4265461e6f0c6b9535
组8,原视频,7409896439356067083.mp4,7409896439356067083,https://douyin.com/?modal_id=7409896439356067083,cc1dc50eeedb90a27c5e6f9ad12412990f684f1cc67feed50b06d68e6f833c39
组8,重复视频,7405889999620558099.mp4,7405889999620558099,https://douyin.com/?modal_id=7405889999620558099,822c3ef4f1eee7efa30ea2aa2a1a99f35891138602e8812f4ea76247ea19919e
组8,重复视频,7405791385002970422.mp4,7405791385002970422,https://douyin.com/?modal_id=7405791385002970422,17e33cfee6574a84659183e379e884ca58fcd718a48fe8c399f11da8fd51c2fd
组8,重复视频,7405447936022170921.mp4,7405447936022170921,https://douyin.com/?modal_id=7405447936022170921,6d9003b7b594bc05d9cdda749f01d486c723dd3870724bf8a5ae8606e5c36e58
组8,重复视频,7405045449100381481.mp4,7405045449100381481,https://douyin.com/?modal_id=7405045449100381481,d0c162c57ad79e3c45296f12a71be9dd333040a75fc47d859d87af26069f5e97
组8,重复视频,7404795632159968548.mp4,7404795632159968548,https://douyin.com/?modal_id=7404795632159968548,d12ec96be4c0fdf508c4eb00af11dbc93076256543e928d92092798ce0c5765b
组8,重复视频,7403588662656568630.mp4,7403588662656568630,https://douyin.com/?modal_id=7403588662656568630,e421a98de70f76e09ba7b1e2d45ec0d0547858b68eb0cf6308bc57cff0aaaf9e
组8,重复视频,7402930394498190655.mp4,7402930394498190655,https://douyin.com/?modal_id=7402930394498190655,10fe66c4f4dbd39a31bac991c9c5c4d377adf68b61ea6182961d1b997ce81050
组8,重复视频,7400345622320123199.mp4,7400345622320123199,https://douyin.com/?modal_id=7400345622320123199,812165a74d9fd7b96d48b24b1de51737c41896a3a93b77341d7fdd435bce3872
组8,重复视频,7400221480757366035.mp4,7400221480757366035,https://douyin.com/?modal_id=7400221480757366035,a0d6b4e1e8ce0ec7b19ec40bc93c599580176688815ae1f859aa428725a78182
组8,重复视频,7399191276815535423.mp4,7399191276815535423,https://douyin.com/?modal_id=7399191276815535423,bf4dd026acd2a73ebffa83c6ef2a1b1f3ca29b7f248f39ca6dcccf2beafeee67
组9,原视频,7405142457169644836.mp4,7405142457169644836,https://douyin.com/?modal_id=7405142457169644836,ee8c5eb7a0aa78ed5af5b43f45723a40e5a05a1a502c9074d9000e849ffebb96
组9,重复视频,7402584441333271844.mp4,7402584441333271844,https://douyin.com/?modal_id=7402584441333271844,711043ffa33bc39cd9c10c5f5c2096ec1e0921e0daec80d9e41c572b823675bd
组9,重复视频,7401719754572025124.mp4,7401719754572025124,https://douyin.com/?modal_id=7401719754572025124,6c493c45b4e23b3150e9e24db5c5b25eca3236bd3dd9999c0a1178707d53210e
组9,重复视频,7398524197254827300.mp4,7398524197254827300,https://douyin.com/?modal_id=7398524197254827300,10f463f5d5828cb3307e49b549bfbebfa3136822c20c28b325ac4c39316741da
组10,原视频,7407262230741355817.mp4,7407262230741355817,https://douyin.com/?modal_id=7407262230741355817,907fc5109a4fa6a18daffbde86889ede8f4e50dd39885b70cd8a3ed71f1de369
组10,重复视频,7407060194737409292.mp4,7407060194737409292,https://douyin.com/?modal_id=7407060194737409292,bca751f5306343289a343f3a4a7fd2dd11e8461d0750878565c34e8abce1bda0
组11,原视频,7406294485765786921.mp4,7406294485765786921,https://douyin.com/?modal_id=7406294485765786921,be1ed9e21405fa554feb162fba4e6046a3d7bb796a99662eeefd84296b2ec456
组11,重复视频,7404389258053700905.mp4,7404389258053700905,https://douyin.com/?modal_id=7404389258053700905,fa1f1a37c997c81f7246284b097a03469e45606c8b8f25ad37ccea1291abbc68
组11,重复视频,7404307161674829075.mp4,7404307161674829075,https://douyin.com/?modal_id=7404307161674829075,073f66c7285ea97597dbb45d164b1b7900c22b4614a122715062b6bd38e387b5
组11,重复视频,7404028710636031286.mp4,7404028710636031286,https://douyin.com/?modal_id=7404028710636031286,0ff925a23d6ccba2e15e3ceeff0ed274ba75c21bcd24297ed93490820c55d4fc
组11,重复视频,7403927282290609471.mp4,7403927282290609471,https://douyin.com/?modal_id=7403927282290609471,ba11fa0fa4be1b8d8e6d4c8c102ddf25139c433123845d69ca40fe8837dc869f
